gene,degree_centrality,clustering_coeff,betweenness,kcore,loeuf,pubmed_count
ZFPM1,0.000592446309553197,0.136363636363636,8.32817523509886e-07,12,0.474,10
ZFPM2,0.00172796840286349,0.213445378151261,1.58905875433102e-06,32,0.145,22
ZFR,0.0147617872130338,0.207312967161231,9.81970068736528e-05,144,0.128,132
ZFR2,0.000197482103184399,0.333333333333333,9.88602410698028e-09,4,1.271,3
ZFX,0.000839298938533695,0.308823529411765,2.1555956898714e-06,16,0.16,12
ZFY,0.000543075783757097,0.0545454545454545,2.54236875527614e-07,11,0.58,9
ZFYVE1,0.00281411997037768,0.109022556390977,1.0265798573578e-05,50,0.436,19
ZFYVE16,0.00523327573438657,0.233962264150943,7.36400911891849e-06,96,0.689,44
ZFYVE19,0.00271537891878549,0.191919191919192,5.17300762838977e-06,52,1.143,19
ZFYVE21,0.00414712416687238,0.14974182444062,1.89204986546063e-05,70,0.594,13
ZFYVE26,0.00236978523821279,0.0718085106382979,9.54826527758835e-06,45,0.602,10
ZFYVE27,0.00315971365095038,0.125496031746032,2.69307045234354e-05,51,1.109,16
ZFYVE28,0.000345593680572698,0.476190476190476,2.32061071723709e-07,7,0.456,3
ZFYVE9,0.00513453468279437,0.185399551904406,1.53281858168105e-05,89,0.325,37
ZG16,0.000543075783757097,0.2,5.34155456129563e-07,11,0.647,3
ZG16B,0.00701061466304616,0.0238737388872241,0.000147014700249228,67,1.849,26
ZGPAT,0.00863984201431745,0.0962233169129721,8.59388987066479e-05,90,0.777,35
ZGRF1,0.00123426314490249,0.253333333333333,1.26439577247525e-06,25,,19
ZHX1,0.00469019995062947,0.126091825307951,2.82883757358716e-05,71,0.384,33
ZHX1-C8orf76,0.00123426314490249,0.01,1.3797881019528e-06,24,,1
ZHX2,0.00355467785731918,0.155712050078247,2.02182324117011e-05,60,0.518,31
ZHX3,0.00232041471241669,0.265494912118409,3.76619722984233e-06,45,0.498,38
ZIC1,0.00562823994075537,0.0524763235522434,5.1316206199824e-05,60,0.364,4
ZIC2,0.00182670945445569,0.0555555555555556,5.04694467394578e-06,34,0.267,16
ZIC3,0.00118489261910639,0.166666666666667,9.17695769953433e-07,23,0.361,9
ZIC4,9.87410515921995e-05,1,0,2,0.873,2
ZIC5,0.000197482103184399,0.166666666666667,4.86216723663793e-09,4,0.519,4
ZIK1,0.000197482103184399,0,2.205310975312e-07,4,1.916,3
ZIM2,0.00251789681560109,0.076078431372549,7.72963737727326e-06,48,0.843,5
ZIM3,0.000197482103184399,0,9.92324495729296e-09,4,1.482,3
ZKSCAN1,0.00340656627993088,0.167092924126172,2.73494778859253e-05,50,0.323,31
ZKSCAN2,0.000444334732164898,0.166666666666667,5.95420110681127e-07,9,0.551,6
ZKSCAN3,0.00138237472229079,0.288359788359788,4.18551847385352e-06,26,1.191,9
ZKSCAN4,0.00390027153789188,0.137617656604998,2.97672482969362e-05,52,0.772,24
ZKSCAN5,0.000740557886941496,0.0857142857142857,1.09461004309159e-06,15,0.449,13
ZKSCAN7,0.000888669464329795,0.254901960784314,4.12023253379311e-06,18,0.716,10
ZKSCAN8,0.00656627993088126,0.173729778992937,5.53712084679914e-05,85,0.882,32
ZMAT1,0.00133300419649469,0.105413105413105,1.65542200898801e-06,27,0.78,9
ZMAT2,0.00557886941495927,0.141276864728192,3.02710295851338e-05,85,0.237,39
ZMAT3,0.00118489261910639,0.177536231884058,1.72422794134925e-06,23,1.018,15
ZMAT4,0.00143174524808689,0.130541871921182,4.49056359290186e-06,29,0.731,12
ZMAT5,0.00232041471241669,0.126734505087882,5.57545121820272e-06,40,1.24,8
ZMIZ1,0.00227104418662059,0.273429951690821,1.57947494129067e-05,41,0.252,27
ZMIZ1-AS1,4.93705257960997e-05,0,0,1,,1
ZMIZ2,0.00306097259935818,0.141195134849286,6.04911956418044e-05,52,0.218,28
ZMPSTE24,0.00809676623056036,0.10773604668562,0.000247298985985336,92,1.327,45
ZMYM1,0.00360404838311528,0.100456621004566,2.63578649536535e-05,56,0.663,30
ZMYM2,0.013379412490743,0.135902692360257,0.000225409942411508,118,0.332,97
ZMYM3,0.00715872624043446,0.197030651340996,6.03861485085896e-05,101,0.106,65
ZMYM4,0.00834361885954085,0.15469146238377,6.69489458428729e-05,108,0.175,73
ZMYM5,0.00187607998025179,0.10099573257468,5.97593201063847e-06,35,1.041,17
ZMYM6,0.00434460627005678,0.0350052246603971,6.05778306941152e-05,58,0.693,15
ZMYM6NB,0.000789928412737596,0.158333333333333,3.5919816203032e-07,16,1.453,5
ZMYND10,0.000987410515921995,0.00526315789473684,2.59753283986577e-06,19,0.859,7
ZMYND11,0.00459145889903728,0.173211781206171,1.54993857693432e-05,79,0.12,40
ZMYND12,0.00399901258948408,0.045679012345679,2.41791130037901e-05,54,0.906,2
ZMYND19,0.00572698099234757,0.0565217391304348,5.17725261311174e-05,62,0.34,14
ZMYND8,0.00987410515921995,0.172964824120603,6.33691139227547e-05,113,0.131,81
ZNF10,0.000592446309553197,0.106060606060606,3.990329067491e-07,12,0.735,14
ZNF100,0.000938039990125895,0.0935672514619883,1.95660815924768e-06,19,1.63,10
ZNF101,0.00162922735127129,0.0397727272727273,9.37141260547633e-06,30,0.612,11
ZNF106,0.00399901258948408,0.201851851851852,5.7066105800259e-06,74,0.4,40
ZNF107,0.00157985682547519,0.157258064516129,3.60140395467957e-06,32,1.901,11
ZNF112,0.000345593680572698,0.238095238095238,5.73441422296461e-07,7,0.512,4
ZNF114,0.000938039990125895,0.128654970760234,1.65180387534491e-06,19,1.85,7
ZNF117,9.87410515921995e-05,0,1.24670491485328e-09,2,1.717,2
ZNF12,0.000888669464329795,0.189542483660131,1.19394579814807e-06,18,0.51,11
ZNF121,0.00256726734139719,0.125188536953243,4.11317846792516e-06,49,1.725,15
ZNF124,0.00291286102196988,0.113383985973115,1.71768727037844e-05,54,1.73,10
ZNF131,0.00597383362132807,0.101101928374656,4.13434144880687e-05,85,0.162,37
ZNF133,0.00138237472229079,0.203703703703704,1.16866134961444e-06,28,0.62,8
