pathway,reactome_id,n_genes,density,mean_loeuf,loeuf_variance,insularity,super_pathway,mean_paralog,mean_cds_length,clustering_score,mean_pubmed,regime,residual,mean_tau,mean_pli,complex_fraction
Activation of Matrix Metalloproteinases,R-HSA-1592389,33,0.0378787878787879,1.075,0.289362064516129,0.0281491907107671,Other,15.0606060606061,1466,0.0342741935483871,13.4242424242424,Equilibrium,-9.68984062373206e-05,0.721289997728355,0.181772860872402,0.272727272727273
NRAGE signals death through JNK,R-HSA-193648,59,0.0298071303331385,0.522775862068966,0.110229755898367,0.0162887256467582,Signal Transduction,11.5423728813559,3613.93220338983,0.00233781414377557,41.6610169491525,Equilibrium,-0.000210649481274858,0.449190221133582,0.439691867767803,0.186440677966102
TRAF6 mediated NF-kB activation,R-HSA-933542,25,0.235507246376812,0.806333333333333,0.350272144927536,0.0120158979572973,Immune System,15.52,1657.2,0,164.375,Equilibrium,-0.000322932425808728,0.360526173159056,0.454324642610738,0.56
Anchoring of the basal body to the plasma membrane,R-HSA-5620912,97,0.164950812171128,0.70889010989011,0.149611698901099,0.0589630356558718,Other,6.74226804123711,2850.71875,0.00244200244200244,83.5425531914894,Equilibrium,-0.000370675671127993,0.381968799604895,0.302891514425495,0.206185567010309
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,R-HSA-9609523,22,0.236842105263158,0.757,0.175807263157895,0.00931773475515064,Other,5.18181818181818,1179.13636363636,0.00526315789473684,83.8,Equilibrium,-0.000406633517388249,0.298183158283954,0.434273869275,0.318181818181818
Common Pathway of Fibrin Clot Formation,R-HSA-140875,22,0.0909090909090909,0.908380952380952,0.276168247619048,0.0448239060832444,Other,18.3181818181818,1911.54545454545,0.0190476190476191,17.1818181818182,Equilibrium,-0.000419304114044119,0.763608858129606,0.164666325691932,0.136363636363636
TNFR1-induced NF-kappa-B signaling pathway,R-HSA-5357956,33,0.479838709677419,0.54315625,0.126208587701613,0.0378769793904671,Signal Transduction,11.5757575757576,1702.27272727273,0.00201612903225806,182.34375,Equilibrium,-0.000661339425272964,0.294282019856374,0.483226088858497,0.545454545454545
RNA Polymerase I Transcription Initiation,R-HSA-73762,48,0.256871035940803,0.751159090909091,0.281501160147992,0.0414357575240856,Other,5.78723404255319,1824.89361702128,0.00317124735729387,127.613636363636,Equilibrium,-0.00074102794123494,0.268400888709591,0.386549387159551,0.791666666666667
Cilium Assembly,R-HSA-5617833,201,0.0782796677665263,0.742521739130435,0.164498130672369,0.073003156749874,Other,8.76616915422886,2455.065,0.00207887859349014,70.5585106382979,Equilibrium,-0.000800245119350957,0.400346092881179,0.279188544781517,0.218905472636816
Caspase activation via Death Receptors in the presence of ligand,R-HSA-140534,18,0.433333333333333,0.846866666666667,0.214369552380952,0.0359861591695502,Other,10.0625,1287.5625,0.0166666666666667,89.1875,Equilibrium,-0.000950307270465525,0.425851909872616,0.251058379214207,0.5
