pathway,reactome_id,n_genes,n_in_network,n_edges,density,mean_loeuf,loeuf_variance,insularity,root_category,super_pathway,log_density,predicted_loeuf,residual,regime
Post NMDA receptor activation events,R-HSA-438064,81,80,310,0.0981012658227848,0.527662337662338,0.142987910799727,0.0335207612456747,Neuronal System,Other,-1.00832538878413,0.698665607380882,-0.171003269718545,Equilibrium
Post-chaperonin tubulin folding pathway,R-HSA-389977,23,23,79,0.312252964426877,0.838772727272727,0.179017041125541,0.0305668407815825,Metabolism of proteins,Other,-0.505493429885377,0.633663110530921,0.205109616741807,Equilibrium
Post-translational modification: synthesis of GPI-anchored proteins,R-HSA-163125,93,86,65,0.0177838577291382,1.111125,0.220786570402299,0.035030988951765,Metabolism of proteins,Other,-1.74997402465102,0.794540605506097,0.316584394493903,Equilibrium
Post-translational protein phosphorylation,R-HSA-8957275,107,103,157,0.0298876832286313,0.849114285714286,0.221865871428571,0.0205901639344262,Metabolism of proteins,Other,-1.52450774839388,0.765393947954187,0.0837203377600984,Equilibrium
Postmitotic nuclear pore complex (NPC) reformation,R-HSA-9615933,27,26,171,0.526153846153846,0.398923076923077,0.0493305538461538,0.047772035200447,Cell Cycle,Cell Cycle & DNA,-0.278887250586721,0.604369094517494,-0.205446017594417,Equilibrium
Postsynaptic nicotinic acetylcholine receptors,R-HSA-622327,14,13,8,0.102564102564103,0.9975,0.0424293461538461,0.0237037037037037,Neuronal System,Other,-0.989004615698537,0.696167956884709,0.301332043115291,Equilibrium
Potassium Channels,R-HSA-1296071,103,97,139,0.0298539518900344,0.794368932038835,0.257282568437084,0.0697091273821464,Neuronal System,Other,-1.52499817138774,0.765457346309343,0.0289115857294924,Equilibrium
Potential therapeutics for SARS,R-HSA-9679191,164,145,502,0.0480842911877395,0.501102040816327,0.149882504944246,0.0315277123567279,Disease,Other,-1.31799678152122,0.738697696381354,-0.237595655565027,Equilibrium
Pre-NOTCH Expression and Processing,R-HSA-1912422,94,58,125,0.0756200846944949,0.44636,0.140677663673469,0.0158649574819139,Signal Transduction,Signal Transduction,-1.12136284056339,0.713278275635504,-0.266918275635504,Equilibrium
Pre-NOTCH Processing in Golgi,R-HSA-1912420,18,18,9,0.0588235294117647,0.634111111111111,0.222778692810458,0.00650289017341041,Signal Transduction,Signal Transduction,-1.23044892137827,0.727380139089199,-0.0932690279780877,Equilibrium
Pre-NOTCH Transcription and Translation,R-HSA-1912408,78,42,109,0.126596980255517,0.322294117647059,0.0627015472370766,0.0158660844250364,Signal Transduction,Signal Transduction,-0.897576653513031,0.684348807924931,-0.362054690277872,Equilibrium
Prednisone ADME,R-HSA-9757110,10,10,1,0.0222222222222222,1.036,0.187824888888889,0.00353356890459364,Drug ADME,Other,-1.65321251377534,0.782031973756299,0.253968026243701,Equilibrium
Prefoldin mediated transfer of substrate  to CCT/TriC,R-HSA-389957,28,28,210,0.555555555555556,0.568178571428572,0.162292670634921,0.0385321100917431,Metabolism of proteins,Other,-0.255272505103306,0.601316350172723,-0.0331377787441515,Equilibrium
Pregnenolone biosynthesis,R-HSA-196108,12,10,1,0.0222222222222222,1.1739,0.153246766666667,0.00487804878048781,Metabolism,Metabolism,-1.65321251377534,0.782031973756299,0.391868026243701,Equilibrium
Presynaptic depolarization and calcium channel opening,R-HSA-112308,12,12,6,0.0909090909090909,0.39275,0.0512722045454545,0.0261437908496732,Neuronal System,Other,-1.04139268515822,0.702940309476392,-0.310190309476392,Equilibrium
Presynaptic function of Kainate receptors,R-HSA-500657,21,21,57,0.271428571428571,1.1,0.3427785,0.0662790697674419,Neuronal System,Other,-0.566344439061428,0.641529491062791,0.458470508937209,Equilibrium
Presynaptic nicotinic acetylcholine receptors,R-HSA-622323,12,11,8,0.145454545454545,1.01808333333333,0.0448655378787879,0.0277777777777778,Neuronal System,Other,-0.8372727025023,0.676553147135588,0.341530186197745,Equilibrium
Presynaptic phase of homologous DNA pairing and strand exchange,R-HSA-5693616,40,38,237,0.337126600284495,0.941842105263158,0.162085109530583,0.0277875483644038,DNA Repair,Cell Cycle & DNA,-0.47220697900972,0.629360077718667,0.312482027544491,Equilibrium
Prevention of phagosomal-lysosomal fusion,R-HSA-9636383,18,9,12,0.333333333333333,0.642888888888889,0.162752861111111,0.00435492651061513,Disease,Other,-0.477121254719662,0.629995359915238,0.0128935289736513,Equilibrium
Processing and activation of SUMO,R-HSA-3215018,10,10,23,0.511111111111111,0.4673,0.1152589,0.0205632543585159,Metabolism of proteins,Other,-0.291484677757751,0.605997599240614,-0.138697599240614,Equilibrium
