pathway,reactome_id,n_genes,n_in_network,n_edges,density,mean_loeuf,loeuf_variance,insularity,root_category,super_pathway,log_density,predicted_loeuf,residual,regime
Signaling by WNT,R-HSA-195721,289,256,2387,0.0731311274509804,0.51384765625,0.169486749249387,0.0628348052700159,Signal Transduction,Signal Transduction,-1.13589773107507,0.715157241675708,-0.201309585425708,Equilibrium
Signaling by WNT in cancer,R-HSA-4791275,34,33,95,0.179924242424242,0.429352941176471,0.077574174688057,0.0284814870334283,Disease,Other,-0.744910317244965,0.664613202685968,-0.235260261509497,Equilibrium
Signaling by activated point mutants of FGFR1,R-HSA-1839122,11,11,10,0.181818181818182,0.860909090909091,0.285471290909091,0.0218579234972678,Disease,Other,-0.740362689494244,0.664025318098861,0.19688377281023,Equilibrium
Signaling by activated point mutants of FGFR3,R-HSA-1839130,12,12,5,0.0757575757575758,0.814,0.202749636363636,0.0166389351081531,Disease,Other,-1.12057393120585,0.713176291111408,0.100823708888592,Equilibrium
Signaling by cytosolic FGFR1 fusion mutants,R-HSA-1839117,18,17,18,0.132352941176471,0.323823529411765,0.0621457794117647,0.00759974667511083,Disease,Other,-0.878266403266911,0.681852517745713,-0.358028988333949,Equilibrium
Signaling by high-kinase activity BRAF mutants,R-HSA-6802948,36,36,149,0.236507936507937,0.484833333333333,0.0902770571428571,0.0217137860682017,Disease,Other,-0.626154281041308,0.649261276992644,-0.16442794365931,Equilibrium
Signaling by moderate kinase activity BRAF mutants,R-HSA-6802946,45,44,178,0.18816067653277,0.469772727272727,0.0782046913319239,0.0232360811957444,Disease,Other,-0.725471134092899,0.662100244988578,-0.192327517715851,Equilibrium
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",R-HSA-9670439,20,20,99,0.521052631578947,0.4034,0.103708252631579,0.0246268656716418,Disease,Other,-0.283118406355279,0.604916067884342,-0.201516067884342,Equilibrium
Signaling by the B Cell Receptor (BCR),R-HSA-983705,162,144,905,0.0878982128982129,0.408135416666667,0.10075380252193,0.0578903601356106,Immune System,Immune System,-1.05601995469113,0.704831217611624,-0.296695800944957,Equilibrium
Signaling downstream of RAS mutants,R-HSA-9649948,45,44,178,0.18816067653277,0.469772727272727,0.0782046913319239,0.0232360811957444,Disease,Other,-0.725471134092899,0.662100244988578,-0.192327517715851,Equilibrium
Signalling to ERKs,R-HSA-187687,34,34,117,0.20855614973262,0.577882352941177,0.128844409982175,0.0215429939237709,Signal Transduction,Signal Transduction,-0.68077699951,0.65632250892582,-0.0784401559846435,Equilibrium
Signalling to RAS,R-HSA-167044,20,20,47,0.247368421052632,0.67325,0.139630934210526,0.0128292616350485,Signal Transduction,Signal Transduction,-0.606655743017112,0.646740646324552,0.0265093536754477,Equilibrium
Smooth Muscle Contraction,R-HSA-445355,44,41,52,0.0634146341463415,0.772325,0.210762173717949,0.0164348925410872,Muscle contraction,Other,-1.19781050874892,0.723160879997605,0.049164120002395,Equilibrium
Sodium/Calcium exchangers,R-HSA-425561,11,11,1,0.0181818181818182,0.698090909090909,0.179432090909091,0.00234741784037559,Transport of small molecules,Transport & Vesicles,-1.74036268949424,0.79329812126818,-0.0952072121772712,Equilibrium
Somitogenesis,R-HSA-9824272,45,44,479,0.506342494714588,0.396363636363636,0.110015864693446,0.0749608763693271,Developmental Biology,Other,-0.29555562298723,0.606523861741978,-0.210160225378341,Equilibrium
Specification of primordial germ cells,R-HSA-9827857,12,12,0,0,0.63975,0.175899840909091,0,Reproduction,Other,-6,1.34395337688188,-0.704203376881879,Equilibrium
Specification of the neural plate border,R-HSA-9834899,17,17,12,0.0882352941176471,0.477764705882353,0.0650120661764706,0.0069364161849711,Developmental Biology,Other,-1.05435766232259,0.704616328417456,-0.226851622535103,Equilibrium
Sphingolipid catabolism,R-HSA-9845614,12,9,1,0.0277777777777778,0.904222222222222,0.131592944444444,0.0026525198938992,Metabolism,Metabolism,-1.55630250076729,0.769504144719573,0.134718077502649,Equilibrium
Sphingolipid de novo biosynthesis,R-HSA-1660661,37,35,19,0.0319327731092437,0.780472222222222,0.166299342063492,0.0100529100529101,Metabolism,Metabolism,-1.49576336477572,0.761678080908494,0.0187941413137278,Equilibrium
Sphingolipid metabolism,R-HSA-428157,107,100,60,0.0121212121212121,0.89855,0.177634714646465,0.0141709966934341,Metabolism,Metabolism,-1.91645394854993,0.816061931939923,0.082488068060077,Equilibrium
Spry regulation of FGF signaling,R-HSA-1295596,16,16,46,0.383333333333333,0.49175,0.135962333333333,0.0119838478572359,Signal Transduction,Signal Transduction,-0.416423414366051,0.622148779946403,-0.130398779946402,Equilibrium
Stabilization of p53,R-HSA-69541,44,42,586,0.680603948896632,0.408142857142857,0.112283637630662,0.0662521198417185,Cell Cycle,Cell Cycle & DNA,-0.167105535435564,0.58991875885683,-0.181775901713973,Equilibrium
Stimuli-sensing channels,R-HSA-2672351,106,105,125,0.0228937728937729,0.792556603773585,0.175835734860737,0.0235893564823552,Transport of small molecules,Transport & Vesicles,-1.64028262969668,0.780360491396796,0.0121961123767886,Equilibrium
Strand-asynchronous mitochondrial DNA replication,R-HSA-9913635,10,9,7,0.194444444444444,0.892777777777778,0.100564944444444,0.00961538461538462,DNA Replication,Cell Cycle & DNA,-0.71120446075303,0.660255952134032,0.232521825643745,Equilibrium
Striated Muscle Contraction,R-HSA-390522,36,36,71,0.112698412698413,0.796485714285714,0.133152668907563,0.0284227381905524,Muscle contraction,Other,-0.948082200734506,0.690877801589851,0.105607912695863,Equilibrium
Sulfur amino acid metabolism,R-HSA-1614635,28,26,7,0.0215384615384615,1.11840740740741,0.130037481481481,0.00695134061569017,Metabolism,Metabolism,-1.66678532096462,0.783786568588534,0.334620838818874,Equilibrium
Suppression of apoptosis,R-HSA-9635465,12,7,3,0.142857142857143,0.470285714285714,0.189854904761905,0.00235201881615053,Disease,Other,-0.845098040014257,0.677564750451505,-0.20727903616579,Equilibrium
Suppression of phagosomal maturation,R-HSA-9637687,23,13,17,0.217948717948718,0.577615384615385,0.143428256410256,0.00505877101621783,Disease,Other,-0.661645681312207,0.653849349794067,-0.0762339651786825,Equilibrium
Surfactant metabolism,R-HSA-5683826,30,26,3,0.00923076923076923,1.06992857142857,0.21666117989418,0.00346220427005193,Metabolism of proteins,Other,-2.03476210625921,0.8313559591248,0.238572612303771,Equilibrium
Switching of origins to a post-replicative state,R-HSA-69052,79,78,949,0.316017316017316,0.521705128205128,0.118882158674659,0.0769605060416836,Cell Cycle,Cell Cycle & DNA,-0.500289119771689,0.632990334773962,-0.111285206568833,Equilibrium
Synaptic adhesion-like molecules,R-HSA-8849932,21,21,32,0.152380952380952,0.358761904761905,0.0596818904761905,0.024160060400151,Neuronal System,Other,-0.817069316414013,0.673941398782443,-0.315179494020538,Equilibrium
Syndecan interactions,R-HSA-3000170,27,27,48,0.136752136752137,0.526740740740741,0.134063968660969,0.0240601503759399,Extracellular matrix organization,Other,-0.864065879090237,0.680016776178921,-0.15327603543818,Equilibrium
"Synthesis And Processing Of GAG, GAGPOL Polyproteins",R-HSA-174495,15,14,36,0.395604395604396,0.686928571428572,0.111259456043956,0.0186673580502982,Disease,Other,-0.402738891553806,0.620379743322429,0.0665488281061423,Equilibrium
Synthesis of DNA,R-HSA-69239,108,107,1377,0.242814318462352,0.616728971962617,0.171279708869688,0.0745452576873105,Cell Cycle,Cell Cycle & DNA,-0.614725707029075,0.647783873193854,-0.0310549012312376,Equilibrium
"Synthesis of IP2, IP, and Ins in the cytosol",R-HSA-1855183,14,14,3,0.032967032967033,0.759928571428571,0.214690840659341,0.00832177531206657,Metabolism,Metabolism,-1.48192013760143,0.759888528126764,4.004330180718e-05,Equilibrium
Synthesis of IP3 and IP4 in the cytosol,R-HSA-1855204,26,26,6,0.0184615384615385,0.572730769230769,0.115191244615385,0.00428724544480172,Metabolism,Metabolism,-1.73373211059523,0.79244096774727,-0.2197101985165,Equilibrium
Synthesis of Leukotrienes (LT) and Eoxins (EX),R-HSA-2142691,20,20,5,0.0263157894736842,1.11831578947368,0.206816450292398,0.0146198830409357,Metabolism,Metabolism,-1.57978359661681,0.772539611801528,0.345776177672156,Equilibrium
Synthesis of PA,R-HSA-1483166,39,35,4,0.00672268907563025,1.07597142857143,0.274415499159664,0.00374181478016838,Metabolism,Metabolism,-2.17245697440059,0.849156160711466,0.226815267859963,Equilibrium
Synthesis of PC,R-HSA-1483191,28,28,12,0.0317460317460317,0.69975,0.146702342592593,0.00704225352112676,Metabolism,Metabolism,-1.4983105537896,0.762007363172521,-0.0622573631725207,Equilibrium
Synthesis of PE,R-HSA-1483213,13,12,4,0.0606060606060606,0.6635,0.0571699090909091,0.0186046511627907,Metabolism,Metabolism,-1.21748394421391,0.725704120148135,-0.0622041201481348,Equilibrium
Synthesis of PIPs at the Golgi membrane,R-HSA-1660514,18,18,8,0.0522875816993464,0.638222222222222,0.133198888888889,0.00774068698597,Metabolism,Metabolism,-1.28160144382566,0.733992769055153,-0.0957705468329311,Equilibrium
Synthesis of PIPs at the early endosome membrane,R-HSA-1660516,16,16,8,0.0666666666666667,0.499375,0.08096145,0.0125097732603597,Metabolism,Metabolism,-1.17609125905568,0.720353171707026,-0.220978171707026,Equilibrium
Synthesis of PIPs at the late endosome membrane,R-HSA-1660517,11,11,9,0.163636363636364,0.553818181818182,0.102157963636364,0.0166975881261596,Metabolism,Metabolism,-0.786120180054919,0.669940517169633,-0.116122335351452,Equilibrium
Synthesis of PIPs at the plasma membrane,R-HSA-1660499,53,53,73,0.0529753265602322,0.553754716981132,0.118808919448476,0.0145839576465888,Metabolism,Metabolism,-1.27592635745115,0.733259134731293,-0.179504417750161,Equilibrium
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-2162123,15,14,3,0.032967032967033,1.08257142857143,0.226263648351648,0.00656455142231947,Metabolism,Metabolism,-1.48192013760143,0.759888528126764,0.322682900444664,Equilibrium
Synthesis of active ubiquitin: roles of E1 and E2 enzymes,R-HSA-8866652,30,30,127,0.291954022988506,0.584724137931035,0.13581713546798,0.0256229193987693,Metabolism of proteins,Other,-0.534685535998681,0.637436855918604,-0.0527127179875691,Equilibrium
Synthesis of bile acids and bile salts,R-HSA-192105,33,32,18,0.0362903225806452,0.853939393939394,0.234370996212121,0.01561144839549,Metabolism,Metabolism,-1.44020917138689,0.75449643460131,0.099442959338084,Equilibrium
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,R-HSA-193775,13,13,8,0.102564102564103,1.24946153846154,0.171113602564103,0.015984015984016,Metabolism,Metabolism,-0.989004615698537,0.696167956884709,0.553293581576829,Equilibrium
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,R-HSA-193807,14,13,13,0.166666666666667,1.04,0.332352461538462,0.026369168356998,Metabolism,Metabolism,-0.778151250383644,0.668910351292769,0.371089648707232,Equilibrium
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,R-HSA-193368,23,22,14,0.0606060606060606,0.994695652173913,0.22132785770751,0.0156162855549359,Metabolism,Metabolism,-1.21748394421391,0.725704120148135,0.268991532025778,Equilibrium
Synthesis of glycosylphosphatidylinositol (GPI),R-HSA-162710,18,18,9,0.0588235294117647,1.10811111111111,0.103826222222222,0.0256410256410256,Metabolism of proteins,Other,-1.23044892137827,0.727380139089199,0.380730972021912,Equilibrium
Synthesis of pyrophosphates in the cytosol,R-HSA-1855167,10,10,3,0.0666666666666667,0.734,0.149675777777778,0.0129589632829374,Metabolism,Metabolism,-1.17609125905568,0.720353171707026,0.013646828292974,Equilibrium
Synthesis of substrates in N-glycan biosythesis,R-HSA-446219,65,63,18,0.00921658986175115,0.941048387096774,0.183917718931782,0.0114686205798025,Metabolism of proteins,Other,-2.03542973818455,0.831442265775274,0.1096061213215,Equilibrium
Synthesis of very long-chain fatty acyl-CoAs,R-HSA-75876,24,20,9,0.0473684210526316,0.7922,0.184060905263158,0.00945874934314241,Metabolism,Metabolism,-1.3245110915135,0.739539819494769,0.0526601805052307,Equilibrium
"Synthesis, secretion, and deacylation of Ghrelin",R-HSA-422085,19,18,13,0.0849673202614379,0.961421052631579,0.237766368421053,0.0181818181818182,Metabolism of proteins,Other,-1.07074807851076,0.706735163463213,0.254685889168366,Equilibrium
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",R-HSA-381771,21,20,16,0.0842105263157895,0.867571428571429,0.289423157142857,0.00967059534602599,Metabolism of proteins,Other,-1.0746336182969,0.707237458083193,0.160333970488236,Equilibrium
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",R-HSA-400511,13,13,9,0.115384615384615,0.751461538461538,0.174409102564103,0.00858778625954199,Metabolism of proteins,Other,-0.937852093251155,0.689555326918755,0.0619062115427836,Equilibrium
TAK1-dependent IKK and NF-kappa-B activation,R-HSA-445989,45,44,190,0.200845665961945,0.758772727272727,0.257655063424947,0.0239400239400239,Immune System,Immune System,-0.697137535448964,0.658437481268002,0.100335246004725,Equilibrium
TBC/RABGAPs,R-HSA-8854214,45,45,130,0.131313131313131,0.628,0.157754604651163,0.0292069197933049,Vesicle-mediated transport,Transport & Vesicles,-0.881691842290713,0.682295333850406,-0.0542953338504059,Equilibrium
TCF dependent signaling in response to WNT,R-HSA-201681,191,160,1457,0.114544025157233,0.4389125,0.109719124371069,0.0583324992493244,Signal Transduction,Signal Transduction,-0.941027559542405,0.689965828347594,-0.251053328347594,Equilibrium
TCR signaling,R-HSA-202403,113,107,893,0.157467818726856,0.513176470588235,0.160972067559697,0.0657802659202239,Immune System,Immune System,-0.802808188397452,0.672097822787386,-0.15892135219915,Equilibrium
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,R-HSA-8866910,13,12,12,0.181818181818182,0.421333333333333,0.0722580606060606,0.00415944540727903,Gene expression (Transcription),Other,-0.740362689494244,0.664025318098861,-0.242691984765528,Equilibrium
TGF-beta receptor signaling activates SMADs,R-HSA-2173789,47,47,149,0.137835337650324,0.468085106382979,0.0973216012950971,0.0209977452085682,Signal Transduction,Signal Transduction,-0.860639425541036,0.679573828923687,-0.211488722540708,Equilibrium
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),R-HSA-2173791,16,16,33,0.275,0.6531875,0.110905629166667,0.0103044496487119,Signal Transduction,Signal Transduction,-0.560667306169737,0.640795592179917,0.0123919078200829,Equilibrium
TGFBR3 PTM regulation,R-HSA-9839383,11,11,17,0.309090909090909,0.574636363636364,0.179597654545455,0.0332681017612524,Signal Transduction,Signal Transduction,-0.50991376811597,0.634234540044946,-0.0595981764085822,Equilibrium
TGFBR3 expression,R-HSA-9839394,28,28,77,0.203703703703704,0.41164,0.158101656666667,0.0150950793961968,Signal Transduction,Signal Transduction,-0.691001074664744,0.657644203780888,-0.246004203780888,Equilibrium
"TICAM1, RIP1-mediated IKK complex recruitment",R-HSA-168927,19,19,84,0.491228070175439,0.702388888888889,0.186182133986928,0.0222841225626741,Immune System,Immune System,-0.308716824330272,0.608225247132669,0.0941636417562201,Equilibrium
"TICAM1,TRAF6-dependent induction of TAK1 complex",R-HSA-9014325,11,11,27,0.490909090909091,0.5919,0.190136766666667,0.0122504537205082,Immune System,Immune System,-0.308998925335257,0.60826171512036,-0.01636171512036,Equilibrium
TICAM1-dependent activation of IRF3/IRF7,R-HSA-9013973,13,13,34,0.435897435897436,0.774166666666667,0.214147787878788,0.0144588560493302,Immune System,Immune System,-0.360615685648225,0.614934358416536,0.15923230825013,Equilibrium
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,R-HSA-5676594,17,17,35,0.257352941176471,0.7076875,0.2461343625,0.0184550487740575,Immune System,Immune System,-0.589470864019942,0.644519108844463,0.0631683911555374,Equilibrium
TNF signaling,R-HSA-75893,59,56,406,0.263636363636364,0.562851851851852,0.119413449336129,0.0483967099773513,Signal Transduction,Signal Transduction,-0.578994687259269,0.643164824108113,-0.0803129722562613,Equilibrium
TNFR1-induced NF-kappa-B signaling pathway,R-HSA-5357956,33,32,238,0.479838709677419,0.54315625,0.126208587701613,0.0378769793904671,Signal Transduction,Signal Transduction,-0.318904719433685,0.609542264891082,-0.066386014891082,Equilibrium
TNFR1-induced proapoptotic signaling,R-HSA-5357786,26,25,134,0.446666666666667,0.53468,0.08837681,0.0320152908851989,Signal Transduction,Signal Transduction,-0.350016456354855,0.613564166334348,-0.0788841663343479,Equilibrium
TNFR2 non-canonical NF-kB pathway,R-HSA-5668541,88,85,798,0.223529411764706,0.620282352941177,0.256955419327731,0.0695333943275389,Immune System,Immune System,-0.650665324761464,0.652429888322954,-0.0321475353817775,Equilibrium
TNFs bind their physiological receptors,R-HSA-5669034,29,27,27,0.0769230769230769,0.984857142857143,0.316946349206349,0.0347714101738571,Immune System,Immune System,-1.11394335230684,0.712319137590497,0.272538005266646,Equilibrium
TP53 Regulates Metabolic Genes,R-HSA-5628897,86,79,343,0.111327491074327,0.7868625,0.321662094778481,0.0283459361183422,Gene expression (Transcription),Other,-0.95339757827417,0.691564935344307,0.0952975646556935,Equilibrium
TP53 Regulates Transcription of Caspase Activators and Caspases,R-HSA-6803207,12,12,13,0.196969696969697,0.679727272727273,0.115484018181818,0.00808960796515246,Gene expression (Transcription),Other,-0.705600583235032,0.659531523178663,0.0201957495486095,Equilibrium
TP53 Regulates Transcription of Cell Cycle Genes,R-HSA-6791312,49,47,215,0.198889916743756,0.465617021276596,0.136985458834413,0.0321543408360129,Gene expression (Transcription),Other,-0.701387234037705,0.658986851717194,-0.193369830440598,Equilibrium
TP53 Regulates Transcription of Cell Death Genes,R-HSA-5633008,44,43,51,0.0564784053156146,0.932476190476191,0.275001279907085,0.0145860145860146,Gene expression (Transcription),Other,-1.24811757421557,0.729664215369702,0.202811975106489,Equilibrium
TP53 Regulates Transcription of DNA Repair Genes,R-HSA-6796648,62,58,409,0.247428917120387,0.78051724137931,0.208498394434362,0.0520554919180349,Gene expression (Transcription),Other,-0.606549545564106,0.646726917882113,0.133790323497198,Equilibrium
TP53 Regulates Transcription of Death Receptors and Ligands,R-HSA-6803211,12,12,11,0.166666666666667,0.78025,0.323619840909091,0.00584484590860786,Gene expression (Transcription),Other,-0.778151250383644,0.668910351292769,0.111339648707231,Equilibrium
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,R-HSA-6803204,20,19,21,0.12280701754386,0.968052631578947,0.380391830409357,0.00915631131458469,Gene expression (Transcription),Other,-0.910776815658235,0.68605522988773,0.281997401691217,Equilibrium
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,R-HSA-6804116,14,14,29,0.318681318681319,0.491214285714286,0.0950046428571429,0.0136824722811984,Gene expression (Transcription),Other,-0.496643394422138,0.63251904163844,-0.141304755924154,Equilibrium
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,R-HSA-6804114,18,18,47,0.30718954248366,0.476166666666667,0.111001676470588,0.0110731534927553,Gene expression (Transcription),Other,-0.512593572881881,0.634580965918982,-0.158414299252315,Equilibrium
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,R-HSA-6804115,21,19,62,0.362573099415205,0.482526315789474,0.209835929824561,0.0238645111624326,Gene expression (Transcription),Other,-0.4406044208939,0.625274726443713,-0.14274841065424,Equilibrium
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,R-HSA-6803205,14,14,9,0.0989010989010989,0.644357142857143,0.178542862637363,0.00443349753694581,Gene expression (Transcription),Other,-1.00479888288177,0.698209726077491,-0.0538525832203479,Equilibrium
TRAF3-dependent IRF activation pathway,R-HSA-918233,18,14,28,0.307692307692308,0.822538461538462,0.316189435897436,0.00960713673014239,Immune System,Immune System,-0.511883360978874,0.634489154835436,0.188049306703026,Equilibrium
TRAF6 mediated IRF7 activation,R-HSA-933541,29,28,62,0.164021164021164,0.747533333333333,0.313060266666667,0.0159835009022944,Immune System,Immune System,-0.785100110338972,0.669808649898025,0.0777246834353086,Equilibrium
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,R-HSA-975110,13,13,29,0.371794871794872,0.749461538461539,0.232344269230769,0.012854609929078,Immune System,Immune System,-0.429696604791524,0.623864642479704,0.125596895981835,Equilibrium
TRAF6 mediated NF-kB activation,R-HSA-933542,25,24,65,0.235507246376812,0.806333333333333,0.350272144927536,0.0120158979572973,Immune System,Immune System,-0.627995725422362,0.649499325669663,0.15683400766367,Equilibrium
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,R-HSA-975138,102,101,580,0.114851485148515,0.63886,0.186053212525253,0.0425891250871976,Immune System,Immune System,-0.939863384555724,0.689815332183686,-0.0509553321836864,Equilibrium
TRAF6-mediated induction of TAK1 complex within TLR4 complex,R-HSA-937072,16,16,33,0.275,0.825933333333333,0.257475780952381,0.0144041903099083,Immune System,Immune System,-0.560667306169737,0.640795592179917,0.185137741153416,Equilibrium
TRIF (TICAM1)-mediated TLR4 signaling,R-HSA-937061,110,109,734,0.124702684335712,0.656703703703704,0.196481238490827,0.0468231691758102,Immune System,Immune System,-0.904124197847522,0.685195227334925,-0.0284915236312217,Equilibrium
TRP channels,R-HSA-3295583,28,28,23,0.0608465608465609,0.817892857142857,0.10548046957672,0.0433553251649387,Transport of small molecules,Transport & Vesicles,-1.21576396381963,0.725481773461171,0.0924110836816865,Equilibrium
Tandem pore domain potassium channels,R-HSA-1296346,12,9,0,0,0.965833333333333,0.189317424242424,0,Neuronal System,Other,-6,1.34395337688188,-0.378120043548545,Equilibrium
Tat-mediated HIV elongation arrest and recovery,R-HSA-167243,32,27,197,0.561253561253561,0.760222222222222,0.255387333333333,0.0610947433710653,Disease,Other,-0.250840890304231,0.60074346290508,0.159478759317142,Equilibrium
Tat-mediated elongation of the HIV-1 transcript,R-HSA-167246,44,39,292,0.394062078272605,0.819820512820513,0.253150045883941,0.0715335619794219,Disease,Other,-0.40443535653091,0.620599050105498,0.199221462715015,Equilibrium
Telomere C-strand (Lagging Strand) Synthesis,R-HSA-174417,34,33,187,0.354166666666667,0.755363636363636,0.170200676136364,0.0270563553497794,Cell Cycle,Cell Cycle & DNA,-0.450792315997313,0.626591744202126,0.12877189216151,Buffered
Telomere C-strand synthesis initiation,R-HSA-174430,13,12,24,0.363636363636364,0.722166666666667,0.200252151515152,0.0223880597014925,Cell Cycle,Cell Cycle & DNA,-0.439332693830263,0.62511032672133,0.0970563399453361,Equilibrium
Telomere Extension By Telomerase,R-HSA-171319,23,23,50,0.197628458498024,0.565739130434783,0.142169019762846,0.0175808720112518,Cell Cycle,Cell Cycle & DNA,-0.704150516839799,0.65934406903097,-0.0936049385961872,Equilibrium
Telomere Maintenance,R-HSA-157579,92,64,372,0.18452380952381,0.734296875,0.215462275545635,0.0351390922401171,Cell Cycle,Cell Cycle & DNA,-0.73394758789159,0.66319601993207,0.0711008550679296,Equilibrium
Termination of O-glycan biosynthesis,R-HSA-977068,26,24,0,0,1.00144,0.22842359,0,Metabolism of proteins,Other,-6,1.34395337688188,-0.342513376881878,Equilibrium
Termination of translesion DNA synthesis,R-HSA-5656169,32,31,131,0.281720430107527,0.813903225806452,0.211895823655914,0.0146499664504585,DNA Repair,Cell Cycle & DNA,-0.55018165723419,0.639440082948969,0.174463142857482,Equilibrium
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",R-HSA-1474151,10,10,8,0.177777777777778,0.7654,0.308341822222222,0.00543109300746775,Metabolism,Metabolism,-0.7501225267834,0.665286999623707,0.100113000376293,Equilibrium
The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex,R-HSA-9931521,14,13,31,0.397435897435897,0.364692307692308,0.0671730641025641,0.0290534208059981,Circadian clock,Other,-0.400732908856208,0.620120424316002,-0.255428116623694,Equilibrium
The NLRP3 inflammasome,R-HSA-844456,17,16,19,0.158333333333333,0.7018125,0.219533629166667,0.00575670352976822,Immune System,Immune System,-0.800427645094796,0.671790083281585,0.0300224167184147,Equilibrium
The activation of arylsulfatases,R-HSA-1663150,13,12,6,0.0909090909090909,1.13966666666667,0.0870635151515151,0.0272108843537415,Metabolism of proteins,Other,-1.04139268515822,0.702940309476392,0.436726357190275,Equilibrium
The canonical retinoid cycle in rods (twilight vision),R-HSA-2453902,22,22,3,0.012987012987013,1.07777272727273,0.153732564935065,0.0101010101010101,Sensory Perception,Other,-1.88649072517248,0.812188502061932,0.265584225210795,Equilibrium
The phototransduction cascade,R-HSA-2514856,34,34,15,0.0267379679144385,0.958029411764706,0.251886817290553,0.0133868808567604,Sensory Perception,Other,-1.57287160220048,0.771646078907839,0.186383332856867,Equilibrium
The role of GTSE1 in G2/M progression after G2 checkpoint,R-HSA-8852276,66,64,749,0.371527777777778,0.546650793650794,0.187592779313876,0.0572192513368984,Cell Cycle,Cell Cycle & DNA,-0.430008710074021,0.623904989204456,-0.0772541955536623,Equilibrium
The role of Nef in HIV-1 replication and disease pathogenesis,R-HSA-164952,29,28,77,0.203703703703704,0.508392857142857,0.10930921031746,0.0281587127445603,Disease,Other,-0.691001074664744,0.657644203780888,-0.14925134663803,Equilibrium
Thrombin signalling through proteinase activated receptors (PARs),R-HSA-456926,32,31,112,0.240860215053763,0.98715625,0.349877942540323,0.0543953375424964,Hemostasis,Other,-0.618234930219772,0.648237520312663,0.338918729687337,Equilibrium
Thromboxane signalling through TP receptor,R-HSA-428930,24,24,97,0.351449275362319,1.11408333333333,0.321124949275362,0.0934939759036144,Hemostasis,Other,-0.454137347798973,0.627024165839818,0.487059167493516,Equilibrium
Thyroxine biosynthesis,R-HSA-209968,14,12,0,0,1.02821428571429,0.188382027472527,0,Metabolism,Metabolism,-6,1.34395337688188,-0.315739091167593,Equilibrium
Tie2 Signaling,R-HSA-210993,18,18,46,0.300653594771242,0.536666666666667,0.147628117647059,0.0165497391617197,Hemostasis,Other,-0.521933599136025,0.63578837729453,-0.0991217106278632,Equilibrium
Tight junction interactions,R-HSA-420029,31,28,13,0.0343915343915344,1.12339285714286,0.250206321428571,0.0191740412979351,Cell-Cell communication,Other,-1.46354844753039,0.757513568252323,0.365879288890534,Equilibrium
Tolerance by Mtb to nitric oxide produced by macrophages,R-HSA-1222538,13,0,0,0,,,0,Disease,Other,-6,1.34395337688188,,Equilibrium
Tolerance of reactive oxygen produced by macrophages,R-HSA-1222387,11,0,0,0,,,0,Disease,Other,-6,1.34395337688188,,Equilibrium
Toll Like Receptor 10 (TLR10) Cascade,R-HSA-168142,98,96,565,0.12390350877193,0.63,0.181105136842105,0.041822421259114,Immune System,Immune System,-0.906916394844996,0.68555618246779,-0.0555561824677899,Equilibrium
Toll Like Receptor 2 (TLR2) Cascade,R-HSA-181438,118,115,633,0.0965675057208238,0.73,0.24622698245614,0.044513202770648,Immune System,Immune System,-1.01516898600875,0.69955029837787,0.0304497016221297,Equilibrium
Toll Like Receptor 3 (TLR3) Cascade,R-HSA-168164,106,105,733,0.134249084249084,0.641509615384615,0.184861514469754,0.0475557141466896,Immune System,Immune System,-0.872088668063609,0.681053904598745,-0.0395442892141294,Equilibrium
Toll Like Receptor 4 (TLR4) Cascade,R-HSA-166016,148,145,902,0.0863984674329502,0.733458333333333,0.237980865384615,0.0525579769257662,Immune System,Immune System,-1.0634939611243,0.705797403374146,0.0276609299591878,Equilibrium
Toll Like Receptor 5 (TLR5) Cascade,R-HSA-168176,98,96,565,0.12390350877193,0.63,0.181105136842105,0.041822421259114,Immune System,Immune System,-0.906916394844996,0.68555618246779,-0.0555561824677899,Equilibrium
Toll Like Receptor 7/8 (TLR7/8) Cascade,R-HSA-168181,107,105,590,0.108058608058608,0.649307692307692,0.188562351008215,0.0428919341354367,Immune System,Immune System,-0.966340631062593,0.693238120059835,-0.0439304277521422,Equilibrium
